epoch,learning_rate,train_loss,val_loss,train_complex_mse,val_complex_mse,val_delay_loss,val_pilot_loss
1.0,0.001,0.04379459346334139,0.0415417705476284,0.0429822871585687,0.0407282322148482,0.0014257371285930276,0.03711261823773384
2.0,0.001,0.043770966231822965,0.04063549106319746,0.04298745567599933,0.03982461939255397,0.0014158212657396992,0.03700399021307627
3.0,0.001,0.039373396982749304,0.03863157391548157,0.038635654002428056,0.03782372653484344,0.0014085300856580337,0.0368710325161616
4.0,0.001,0.039021372149387994,0.03530316690603892,0.038272677610317864,0.03450189044078191,0.001432983720054229,0.03648142134149869
5.0,0.001,0.03503764184812705,0.03197518095374107,0.03433238533635934,0.031183864573637643,0.0014581940975040197,0.03592037985722224
