seed,snr_db,method,estimator,equalizer,frames,bit_errors,total_bits,ber,symbol_errors,total_symbols,ser,evm_rms,evm_db,channel_mse,channel_nmse,pilot_nmse,data_nmse,deep_fade_nmse,estimator_time_ms
6101,0.0,LS-linear+ZF,LS-linear,ZF,100,115892,269200,0.43050520059435365,60014,67300,0.8917384843982169,4.061219297148905,12.173128821912309,1.3197471982240676,1.3197472077608108,0.8476949602365493,1.3232532060146331,7.645431723594665,0.45713100058492273
6101,0.0,LS-linear+MMSE,LS-linear,MMSE,100,115892,269200,0.43050520059435365,60014,67300,0.8917384843982169,4.061219266282933,12.17312875589804,1.3197471982240676,1.3197472077608108,0.8476949602365493,1.3232532060146331,7.645431723594665,0.45713100058492273
6101,0.0,Frame-LS-linear+ZF,Frame-LS-linear,ZF,100,94389,269200,0.35062778603268946,54573,67300,0.8108915304606241,2.33429206612441,7.363103878836428,0.599423842728138,0.5994238471984863,0.48611548215150835,0.5369415897130966,4.661200522184372,0.07618999981787056
6101,0.0,Frame-LS-linear+MMSE,Frame-LS-linear,MMSE,100,94389,269200,0.35062778603268946,54573,67300,0.8108915304606241,2.3342921073728937,7.3631040323218375,0.599423842728138,0.5994238471984863,0.48611548215150835,0.5369415897130966,4.661200522184372,0.07618999981787056
6101,0.0,Frame-LS-cubic+ZF,Frame-LS-cubic,ZF,100,94389,269200,0.35062778603268946,54573,67300,0.8108915304606241,2.33429206612441,7.363103878836428,1.0733618795871736,1.0733618891239167,0.48611548215150835,0.5369415897130966,4.661200522184372,0.6987650008522905
6101,0.0,Frame-LS-cubic+MMSE,Frame-LS-cubic,MMSE,100,94389,269200,0.35062778603268946,54573,67300,0.8108915304606241,2.3342921073728937,7.3631040323218375,1.0733618795871736,1.0733618891239167,0.48611548215150835,0.5369415897130966,4.661200522184372,0.6987650008522905
6101,0.0,DFT-LS+ZF,DFT-LS,ZF,100,84396,269200,0.3135066864784547,51030,67300,0.7582466567607726,2.560955644551733,8.168041132092194,0.15724087275564672,0.1572408739477396,0.10089861169457436,0.09843059182167054,0.7355192539095878,0.05687900091288611
6101,0.0,DFT-LS+MMSE,DFT-LS,MMSE,100,84396,269200,0.3135066864784547,51030,67300,0.7582466567607726,2.5609557527337556,8.168041499008776,0.15724087275564672,0.1572408739477396,0.10089861169457436,0.09843059182167054,0.7355192539095878,0.05687900091288611
6101,0.0,LMMSE-oracle+ZF,LMMSE-oracle,ZF,100,83753,269200,0.3111181277860327,50668,67300,0.7528677563150075,2.9914448048209348,9.517619881600158,0.08509178623557091,0.08509178679436445,0.07011145722121,0.06953692255541682,0.5217460586875677,0.027455999224912375
6101,0.0,LMMSE-oracle+MMSE,LMMSE-oracle,MMSE,100,83753,269200,0.3111181277860327,50668,67300,0.7528677563150075,2.9914448869588344,9.517620120093852,0.08509178623557091,0.08509178679436445,0.07011145722121,0.06953692255541682,0.5217460586875677,0.027455999224912375
6101,0.0,LMMSE-train-prior+ZF,LMMSE-train-prior,ZF,100,85082,269200,0.31605497771173846,51057,67300,0.7586478454680535,2.833524970074582,9.046540883173527,0.12759179193526507,0.12759179282933475,0.09496932681649924,0.09393689628690481,0.6190224128961563,0.02076400094665587
