snr_db,method,estimator,equalizer,num_seeds,frames_per_seed,total_bits,bit_errors,total_symbols,symbol_errors,ber_mean,ber_std,ber_ci95,ser_mean,ser_std,ser_ci95,evm_rms_mean,evm_rms_std,evm_rms_ci95,evm_db_mean,evm_db_std,evm_db_ci95,channel_mse_mean,channel_mse_std,channel_mse_ci95,channel_nmse_mean,channel_nmse_std,channel_nmse_ci95,pilot_nmse_mean,pilot_nmse_std,pilot_nmse_ci95,data_nmse_mean,data_nmse_std,data_nmse_ci95,deep_fade_nmse_mean,deep_fade_nmse_std,deep_fade_nmse_ci95,estimator_time_ms_mean,estimator_time_ms_std,estimator_time_ms_ci95,ber_pooled,ser_pooled,ber_plot,training_regime,scenario,num_training_seeds,test_seed_count,frames_per_test_seed
10.0,DFT-LS+ZF,DFT-LS,ZF,3.0,60.0,484560.0,47389.0,121140.0,37216.0,0.09779800231137527,0.0009648385999394218,0.0023967919518619075,0.30721479280171704,0.002923532647837737,0.00726245770202702,0.737291405918632,0.0482576986870797,0.11987876919085907,-2.6599365404580455,0.5792958084275064,1.4390505639736633,0.02086755440880855,0.000963210137182955,0.0023927466261163873,0.020867554693379337,0.0009632102046443682,0.002392746793699828,0.01161733138659555,0.0005590771180159459,0.001388824552640101,0.011528689281031906,0.0005591658861680727,0.0013890450649544017,0.1142893981292016,0.04919667094342577,0.12221130558313566,0.035433888034377664,0.00872471819288217,0.021673401487332787,0.09779800231137527,0.30721479280171704,0.09779800231137527,,,,,
20.0,DFT-LS+ZF,DFT-LS,ZF,3.0,60.0,484560.0,5887.0,121140.0,4859.0,0.012149166253921082,0.0007872871813799472,0.001955729777243549,0.04011061581641076,0.0028028312374692725,0.006962618776669265,0.24713832065745203,0.01990732015411043,0.049452524734713114,-12.16019085857964,0.7054103393221782,1.7523364261688197,0.008946034898528724,0.0002732075796494095,0.0006786852517431302,0.00894603502820246,0.0002732075117071569,0.0006786850829652182,0.0026145124242046027,7.463492376183079e-05,0.00018540342873037466,0.002505707089019577,6.405503376529764e-05,0.0001591215250038166,0.018913426070745722,0.00439119268227047,0.01090832734159016,0.030236667791743662,0.0015657464884506892,0.00388952989900101,0.012149166253921083,0.04011061581641077,0.012149166253921082,,,,,
30.0,DFT-LS+ZF,DFT-LS,ZF,3.0,60.0,484560.0,1351.0,121140.0,1126.0,0.0027880964173683347,0.00039630024652732843,0.0009844643875744894,0.009295030543173188,0.0007836515955955632,0.0019466984814922575,0.1349203481156456,0.041379682691734684,0.10279283027480053,-17.673593072028336,2.6843658688811964,6.6683344870232215,0.008764506632158171,0.0008296590295619597,0.002060987283229046,0.008764506758921521,0.0008296590774448564,0.0020609874021767557,0.001981590518658373,0.0002196316013659761,0.0005455951436453366,0.0018596718336387616,0.00020224460388038848,0.0005024034474972801,0.011594137609063181,0.0003186253340344447,0.0007915092081940101,0.02788777767111444,0.00012851020936561038,0.0003192370574300432,0.0027880964173683342,0.009295030543173188,0.0027880964173683347,,,,,
10.0,Frame-LS-linear+ZF,Frame-LS-linear,ZF,3.0,60.0,484560.0,59777.0,121140.0,46456.0,0.12336346376093776,0.0021350280196016105,0.005303703619135983,0.38349017665510976,0.0037398303146159045,0.00929025352008447,0.8516111293800258,0.08634729974554055,0.21449858360570695,-1.4246653617839307,0.8745917504180727,2.172606349599267,0.06506504993885755,0.0018979517534640149,0.0047147735258626245,0.06506505080809195,0.0018979516928367937,0.004714773375256258,0.049139971368842655,0.0005418737615781083,0.0013460890461441859,0.05420443173497915,0.001184327555614959,0.002942032743968206,0.5317805938629641,0.19525769965200443,0.48504701521516347,0.03933833585405308,0.01257989638083659,0.03125019500954766,0.12336346376093776,0.3834901766551098,0.12336346376093776,,,,,
20.0,Frame-LS-linear+ZF,Frame-LS-linear,ZF,3.0,60.0,484560.0,7353.0,121140.0,6093.0,0.015174591381872214,0.0007448742827833054,0.0018503702963749886,0.05029717682020803,0.002279566618319625,0.005662757403014951,0.2669102652437168,0.03504554823181121,0.08705796799160734,-11.52072520643218,1.1076136377597299,2.7514648076079142,0.016294027106939918,0.0002838855544282156,0.0007052108115762812,0.016294027355292603,0.0002838854953983405,0.0007052106649379424,0.004830412176023755,0.00015545549766174648,0.0003861728642404597,0.005317861458752304,0.00017532721744283096,0.0004355369527459867,0.03756743318711718,0.006441017050174842,0.016000373356366195,0.034307778858217515,0.0033437011516259463,0.008306214127577023,0.015174591381872214,0.050297176820208025,0.015174591381872214,,,,,
30.0,Frame-LS-linear+ZF,Frame-LS-linear,ZF,3.0,60.0,484560.0,670.0,121140.0,562.0,0.0013826977051345551,0.00012723347070990877,0.0003160654627873654,0.004639260359914149,0.0004459944744672314,0.0011079116932563192,0.09526892580081237,0.01891419897992873,0.04698547497359058,-20.54245435419557,1.8064330923842968,4.4874285685456,0.012634863426986461,0.0010712701237453473,0.00266118251386726,0.012634863601609444,0.001071270163772068,0.0026611826132991465,0.0004923911014985707,3.7853688443124025e-06,9.403377499041203e-06,0.0005456269293467308,2.3050124385344333e-06,5.725968324616975e-06,0.0034657324192165916,0.00028993493575935243,0.0007202383078737166,0.03283444449253794,0.0015434891444134873,0.0038342395913147954,0.0013826977051345551,0.004639260359914149,0.0013826977051345551,,,,,
10.0,LMMSE-oracle+ZF,LMMSE-oracle,ZF,3.0,60.0,484560.0,46227.0,121140.0,36328.0,0.09539995047052996,0.0009508457016649162,0.002362031665561522,0.29988443123658576,0.0023728097085724794,0.005894386079872207,0.9625552113111523,0.2831189760586269,0.703306525339374,-0.5662214842879952,2.4293261017446586,6.034780583483325,0.009786691645988159,0.00025394539026881655,0.0006308353206919225,0.009786691749468446,0.00025394539867819684,0.0006308353415819812,0.007561610348057002,0.0002884326206972863,0.0007165063503731077,0.007570162273219063,0.000289786437890624,0.0007198694187178937,0.06948933374886919,0.030905725262980372,0.07677407763476442,0.013723887807120467,0.0042193045556490885,0.01048133356404787,0.09539995047052996,0.29988443123658576,0.09539995047052996,,,,,
20.0,LMMSE-oracle+ZF,LMMSE-oracle,ZF,3.0,60.0,484560.0,5087.0,121140.0,4218.0,0.010498183919432061,0.00042396425924284907,0.0010531856048194548,0.03481921743437345,0.0019992059970949864,0.004966303010941076,0.3632497379858541,0.21624992907758187,0.5371946039849553,-9.742920060141758,4.8346442300266546,12.009922054705351,0.0012480729075226313,4.838909308247164e-05,0.00012020517096356483,0.0012480729275719364,4.8389094063038114e-05,0.00012020517339942698,0.0008584949664913842,2.702274426812752e-05,6.712821811144065e-05,0.0008564225090796955,2.4752178543442065e-05,6.148782016774179e-05,0.006194657750246632,0.0015415375299691631,0.003829391512274853,0.012777221693088196,0.001329501512351723,0.0033026648446620125,0.010498183919432063,0.03481921743437345,0.010498183919432061,,,,,
30.0,LMMSE-oracle+ZF,LMMSE-oracle,ZF,3.0,60.0,484560.0,509.0,121140.0,405.0,0.0010504375103186395,0.0001537027091081842,0.0003818186960938313,0.0033432392273402677,0.0003404588183473877,0.0008457465899547011,0.10939019342900343,0.07165231580981489,0.17799421983740557,-20.355480595383884,5.26496538975012,13.07889907573855,0.0001357304397768328,1.287931410358696e-06,3.1993989866198267e-06,0.0001357304415554002,1.2879323169415592e-06,3.1994012386965057e-06,9.260623565852358e-05,3.988951387197903e-06,9.909104571277103e-06,9.252190019550552e-05,4.460551871355571e-06,1.108062511885288e-05,0.0006103783949381775,9.063835396663176e-05,0.00022515815321948507,0.01113833309823854,0.00025083745751166116,0.0006231147877242886,0.0010504375103186395,0.0033432392273402673,0.0010504375103186395,,,,,
10.0,LMMSE-sample-10000+ZF,LMMSE-sample-10000,ZF,3.0,60.0,484560.0,47803.0,121140.0,37541.0,0.09865238566947333,0.0011703357172492797,0.0029072750906273073,0.3098976390952617,0.0015869410182064846,0.0039421800296501955,0.7627131631380674,0.09680373128857374,0.2404737995320914,-2.3980627872385187,1.0781129588985117,2.6781810587265262,0.015698244091537264,0.00025433957806672884,0.0006318145374662282,0.015698244262279736,0.0002543396143823044,0.0006318146276791189,0.012746086188902458,0.0003180808216017768,0.0007901565643255028,0.012749446788802743,0.0003427715325781838,0.0008514916905919234,0.1322640318940911,0.07149959427241818,0.17761483850696194,0.008261667810276978,0.0019509061407685761,0.004846319516368517,0.09865238566947333,0.3098976390952617,0.09865238566947333,,,,,
