training_regime,training_seed,scenario,test_seed,snr_db,method,estimator,equalizer,frames,bit_errors,total_bits,ber,symbol_errors,total_symbols,ser,evm_rms,evm_db,channel_mse,channel_nmse,pilot_nmse,data_nmse,deep_fade_nmse,estimator_time_ms
baseline,0,matched_12tap_exponential,8101,10.0,LMMSE-sample-100+ZF,LMMSE-sample-100,ZF,60,17380,161520,0.10760277365032195,13416,40380,0.33224368499257056,0.7880498599515493,-2.0689260761786983,0.019709201296791434,0.01970920154514412,0.013484357957107325,0.013661548759167393,0.12100971412534516,0.010978333496799072
baseline,0,matched_12tap_exponential,8101,10.0,LMMSE-sample-100+MMSE,LMMSE-sample-100,MMSE,60,17380,161520,0.10760277365032195,13416,40380,0.33224368499257056,0.7880498567226434,-2.0689261117677162,0.019709201296791434,0.01970920154514412,0.013484357957107325,0.013661548759167393,0.12100971412534516,0.010978333496799072
baseline,0,matched_12tap_exponential,8101,10.0,LMMSE-sample-1000+ZF,LMMSE-sample-1000,ZF,60,17370,161520,0.10754086181277861,13417,40380,0.3322684497275879,0.8063212745488205,-1.8698376263553194,0.019156067445874215,0.01915606767870486,0.013410171455082795,0.013577742284784715,0.1205661056873699,0.010268331485955665
baseline,0,matched_12tap_exponential,8101,10.0,LMMSE-sample-1000+MMSE,LMMSE-sample-1000,MMSE,60,17370,161520,0.10754086181277861,13417,40380,0.3322684497275879,0.8063212732631494,-1.8698376402048829,0.019156067445874215,0.01915606767870486,0.013410171455082795,0.013577742284784715,0.1205661056873699,0.010268331485955665
baseline,0,matched_12tap_exponential,8101,10.0,LMMSE-sample-10000+ZF,LMMSE-sample-10000,ZF,60,17385,161520,0.10763372956909362,13421,40380,0.33236750866765724,0.8045578845588651,-1.8888540955585698,0.019038830402617654,0.019038830635448298,0.013417565147392452,0.013579307411176463,0.12088609893495837,0.00971999931304405
baseline,0,matched_12tap_exponential,8101,10.0,LMMSE-sample-10000+MMSE,LMMSE-sample-10000,MMSE,60,17385,161520,0.10763372956909362,13421,40380,0.33236750866765724,0.8045578823332932,-1.8888541195855202,0.019038830402617654,0.019038830635448298,0.013417565147392452,0.013579307411176463,0.12088609893495837,0.00971999931304405
baseline,0,matched_12tap_exponential,8101,10.0,PerfectCSI+ZF,PerfectCSI,ZF,60,15748,161520,0.09749876176324913,12233,40380,0.3029470034670629,0.7908950238190783,-2.03762313918958,0.0,0.0,0.0,0.0,0.0,0.002238332429745545
baseline,0,matched_12tap_exponential,8101,10.0,PerfectCSI+MMSE,PerfectCSI,MMSE,60,15748,161520,0.09749876176324913,12233,40380,0.3029470034670629,0.7908950099966461,-2.0376232909924337,0.0,0.0,0.0,0.0,0.0,0.002238332429745545
baseline,0,matched_12tap_exponential,8101,20.0,LS-linear+ZF,LS-linear,ZF,60,28800,161520,0.17830609212481427,20196,40380,0.500148588410104,2.097465880074531,6.433898095942023,0.29311743304133414,0.29311744024356207,0.008675102369549374,0.2759160898625851,1.4051186700661977,0.23074000152215982
baseline,0,matched_12tap_exponential,8101,20.0,LS-linear+MMSE,LS-linear,MMSE,60,28800,161520,0.17830609212481427,20196,40380,0.500148588410104,2.0974659012737944,6.433898183731037,0.29311743304133414,0.29311744024356207,0.008675102369549374,0.2759160898625851,1.4051186700661977,0.23074000152215982
