snr_db,method,estimator,equalizer,num_seeds,frames_per_seed,total_bits,bit_errors,total_symbols,symbol_errors,ber_mean,ber_std,ber_ci95,ser_mean,ser_std,ser_ci95,evm_rms_mean,evm_rms_std,evm_rms_ci95,evm_db_mean,evm_db_std,evm_db_ci95,channel_mse_mean,channel_mse_std,channel_mse_ci95,channel_nmse_mean,channel_nmse_std,channel_nmse_ci95,pilot_nmse_mean,pilot_nmse_std,pilot_nmse_ci95,data_nmse_mean,data_nmse_std,data_nmse_ci95,deep_fade_nmse_mean,deep_fade_nmse_std,deep_fade_nmse_ci95,estimator_time_ms_mean,estimator_time_ms_std,estimator_time_ms_ci95,ber_pooled,ser_pooled,ber_plot,training_regime,scenario,num_training_seeds,test_seed_count,frames_per_test_seed
10.0,DFT-LS+ZF,DFT-LS,ZF,3.0,60.0,484560.0,56672.0,121140.0,43184.0,0.11695558857520223,0.0037999210940950746,0.009439527291517149,0.3564801056628694,0.006973387632827175,0.017322855197359353,0.803976072479406,0.06109704829222757,0.15177348173935362,-1.911478116882689,0.6487175783289049,1.6115038006021811,0.08960023449294063,0.00379200122608948,0.009419853248732367,0.08960023486029563,0.0037920011599569905,0.009419853084450156,0.03231478284061368,0.0015901039787921713,0.00395003725932188,0.02941110211346919,0.0015576855024389893,0.003869505299655454,0.20276899299739548,0.04349282695107498,0.10804217161979648,0.029752222083819408,0.000663379758267717,0.0016479266747246536,0.11695558857520225,0.3564801056628694,0.11695558857520223,,,,,
20.0,DFT-LS+ZF,DFT-LS,ZF,3.0,60.0,484560.0,16413.0,121140.0,12829.0,0.033871966319960374,0.001471458266477256,0.003655304971022918,0.10590226184579825,0.0034605412849220392,0.008596461108943783,0.48915570995871743,0.06791803417454585,0.16871775000093706,-6.264535429462572,1.16736189652652,2.899887710421915,0.07506240253763584,0.0042220686238794835,0.010488199890176846,0.07506240293215444,0.004222068774135328,0.010488200263433054,0.02330649560867136,0.0006893291681893672,0.001712388582508693,0.020669044840421216,0.0005882815697802107,0.0014613724326187046,0.14899692845323845,0.011793650900825604,0.029297052961959134,0.02907499923215558,0.001093873316006766,0.0027173319561697934,0.033871966319960374,0.10590226184579825,0.033871966319960374,,,,,
30.0,DFT-LS+ZF,DFT-LS,ZF,3.0,60.0,484560.0,11004.0,121140.0,8696.0,0.022709262010896486,0.0008220297454829927,0.0020420350909348276,0.07178471190358263,0.002709032614242559,0.006729610079401525,0.3429432894568225,0.026471387699534315,0.06575857246677701,-9.313321763208718,0.6853853488810693,1.702591592236621,0.07786459172138065,0.011626538900091242,0.028881923738848857,0.07786459240435054,0.011626539279617171,0.02888192468164353,0.023686020295685412,0.0038494521870928726,0.009562569347537192,0.02091886862973398,0.0034047787493722242,0.008457939291481668,0.13359747498309138,0.005984973882381871,0.01486749932506559,0.031546664831694216,0.0032984510133203097,0.008193806552550071,0.022709262010896483,0.07178471190358263,0.022709262010896486,,,,,
10.0,Frame-LS-linear+ZF,Frame-LS-linear,ZF,3.0,60.0,484560.0,64856.0,121140.0,49140.0,0.13384513785702493,0.003953139105725971,0.009820141932328861,0.4056463595839525,0.007095906900559814,0.017627209930750034,1.6471868503555525,1.0178081880500558,2.528375703263415,3.2994606085662714,5.07655169403616,12.61085350880525,0.16215034572200646,0.005900139595745564,0.014656759274382904,0.1621503465498487,0.005900139341216832,0.014656758642098481,0.04878950700577762,0.0009246242282477749,0.0022968939145883425,0.05375971138063405,0.0012651687371682183,0.0031428533717271128,0.438488748917977,0.0557046456762154,0.13837801104397662,0.03290611057309434,0.00033033814552190996,0.000820605444920645,0.13384513785702493,0.40564635958395245,0.13384513785702493,,,,,
20.0,Frame-LS-linear+ZF,Frame-LS-linear,ZF,3.0,60.0,484560.0,10206.0,121140.0,8291.0,0.021062407132243683,0.0005426034822834445,0.0013479017728673566,0.06844147267624236,0.00033440034836601366,0.0008306965161984625,0.41926337077352893,0.07462783265565218,0.18538581344609836,-7.64953857850125,1.6391535003207542,4.071883025494342,0.10803850622744197,0.0055841754392782755,0.01387186079774113,0.10803850689488981,0.005584175721148818,0.013871861497946373,0.004844392450629838,0.00018342636590789599,0.0004556563528811195,0.005332350807212707,0.0002074276425333033,0.0005152788292764456,0.04878100138675007,0.0010925093477465054,0.0027139436711768493,0.03253666751940424,0.00023710696845781286,0.000589006362064849,0.021062407132243686,0.06844147267624237,0.021062407132243683,,,,,
30.0,Frame-LS-linear+ZF,Frame-LS-linear,ZF,3.0,60.0,484560.0,1167.0,121140.0,942.0,0.0024083704804358595,0.00047052996532937104,0.001168861231383266,0.007776126795443289,0.0011072357060974813,0.0027505259733132583,0.22237536630375335,0.20411667254950547,0.5070539238772199,-15.352511191502243,7.453858500512707,18.516410999174386,0.10849353805339584,0.015750764677290422,0.03912706852376215,0.10849353891228224,0.015750764980295293,0.03912706927646798,0.0004899777942531121,2.4453720160287035e-06,6.074640844275835e-06,0.0005427086685409044,2.9412122311996337e-06,7.306376221784341e-06,0.005063877764688287,0.001164059914877674,0.002891685133284509,0.03386777680134401,0.002988984753904422,0.007425049747020755,0.0024083704804358595,0.007776126795443289,0.0024083704804358595,,,,,
10.0,LMMSE-oracle+ZF,LMMSE-oracle,ZF,3.0,60.0,484560.0,50143.0,121140.0,38713.0,0.10348150899785373,0.0027922261611503115,0.006936274306649343,0.3195723955753673,0.006632157558219063,0.016475192700641957,0.8759295896040741,0.09808940410557512,0.2436675878617768,-1.1876421055575985,0.9870293483601388,2.4519168268657747,0.00884229275915358,0.00015726042336728044,0.0003906565482524842,0.008842292809600217,0.00015726045537003936,0.0003906566277517445,0.0069045284129161805,0.0003010574788327121,0.0007478682365728168,0.006822965983560102,0.0002980108323374546,0.0007402999471195756,0.053193500172346836,0.002498148440269523,0.00620574475002379,0.012244444062364183,0.0006322622213450339,0.001570626427758233,0.10348150899785372,0.3195723955753673,0.10348150899785373,,,,,
20.0,LMMSE-oracle+ZF,LMMSE-oracle,ZF,3.0,60.0,484560.0,7056.0,121140.0,5730.0,0.014561664190193164,0.00047235932541388003,0.0011734056137575656,0.04730064388311045,0.0004639671618423756,0.001152558323746414,0.28235845685437977,0.029377351149441722,0.0729773858616601,-11.016601367561032,0.9309396047727446,2.3125821795779227,0.00091969140873213,0.00016149221013889755,0.00040116888935994445,0.0009196914127743285,0.0001614922108769751,0.0004011688911934307,0.0007190323873752883,7.38433064672794e-05,0.0001834369423557058,0.0007098104104645446,7.045735023225914e-05,0.0001750257607819558,0.0059989598156082345,0.00039664120111207435,0.0009853113657164508,0.012789998921410492,0.0008111932581698657,0.002015115764137385,0.014561664190193165,0.04730064388311045,0.014561664190193164,,,,,
30.0,LMMSE-oracle+ZF,LMMSE-oracle,ZF,3.0,60.0,484560.0,825.0,121140.0,653.0,0.001702575532441803,0.00046918390138155997,0.001165517423168081,0.005390457322106654,0.0012122921691768227,0.003011500695111756,0.10145852035355633,0.021976878729686667,0.05459359323897834,-20.017336562748643,1.9559421290125019,4.858829604681185,9.061153565805095e-05,4.0802762166968725e-06,1.0135968024254663e-05,9.061153633511922e-05,4.080275999226622e-06,1.0135967484028613e-05,7.190235587081082e-05,2.131438748389835e-06,5.294787375161113e-06,7.123382469621396e-05,2.0877647822410907e-06,5.186295228829309e-06,0.0005919288692287713,0.0001643025477216679,0.0004081501549320535,0.012458332801341182,0.001898282172953622,0.004715594333377455,0.001702575532441803,0.005390457322106653,0.001702575532441803,,,,,
10.0,LMMSE-sample-10000+ZF,LMMSE-sample-10000,ZF,3.0,60.0,484560.0,52393.0,121140.0,40326.0,0.1081248968136041,0.0027775608172242927,0.006899843572746931,0.33288756810302134,0.006809491599297506,0.016915714879662,0.9561108688353158,0.253774435149894,0.6304106446339902,-0.5802924648002264,2.18636412007453,5.431229562294966,0.021547526995547944,0.0008230610367650378,0.002044596960500355,0.02154752709902823,0.0008230609988520113,0.002044596866319176,0.012993652834039596,0.00036569076873907414,0.0009084262294637028,0.01295379111284597,0.00030438580188259446,0.0007561362493779175,0.10286263914571868,0.007965087537810119,0.0197863743300667,0.008709444308705214,0.0026183680642220108,0.006504386851576608,0.1081248968136041,0.3328875681030213,0.1081248968136041,,,,,
