variant,snr_db,num_training_seeds,ber_mean,ber_std,ber_ci95,ser_mean,ser_std,ser_ci95,evm_rms_mean,evm_rms_std,evm_rms_ci95,evm_db_mean,evm_db_std,evm_db_ci95,channel_mse_mean,channel_mse_std,channel_mse_ci95,channel_nmse_mean,channel_nmse_std,channel_nmse_ci95,pilot_nmse_mean,pilot_nmse_std,pilot_nmse_ci95,data_nmse_mean,data_nmse_std,data_nmse_ci95,deep_fade_nmse_mean,deep_fade_nmse_std,deep_fade_nmse_ci95
Plain CNN,20.0,3,0.026750729183864397,0.0014016683436518555,0.0034819371918321956,0.08656375543448351,0.004865430747358151,0.012086400003421975,0.3983356955983577,0.024946005336233736,0.061969312613263196,-8.058033313706867,0.4979180990197598,1.2368971271380205,0.05498469342494866,0.00553854095733534,0.013758498460190494,0.054984693933726736,0.005538541012260407,0.013758498596631925,0.014080754802044897,0.0016987028254902658,0.00421981174985721,0.013652690142151659,0.00153750153310128,0.0038193655402508383,0.09691084985259092,0.00852761136588302,0.02118376098514075
Residual CNN,20.0,3,0.01999889934511034,0.00042316152602260516,0.0010511915049545722,0.06509823344890209,0.0011538287840949873,0.0028662695954733875,0.3377982921313724,0.049915599008049566,0.1239972219005033,-9.61005569028285,1.039380077023046,2.581963246174911,0.04047269082835151,0.0009054742094529978,0.002249322630719509,0.04047269120174288,0.0009054742225557366,0.0022493226632685167,0.008443009956412154,0.0002920327703962879,0.0007254496180083442,0.008181159758371198,0.0002867656123719412,0.0007123652721263162,0.051817544099995526,0.003987309177196426,0.00990502509548182
Residual CNN + hard delay projection,20.0,3,0.02009589455726157,0.00037770919443218384,0.0009382816539638257,0.06544769137636895,0.001124376344605874,0.002793105679835437,0.3531737802218844,0.013395652869746706,0.033276646467254326,-9.070956964933524,0.3389097008698562,0.8418983688088335,0.03243500240129867,0.0021048829699054235,0.005228819164363098,0.03243500269837332,0.0021048829734049775,0.005228819173056472,0.007740327988802973,0.00036429002898617243,0.0009049465990191717,0.0074369278591971295,0.0003436722240284844,0.000853729132190266,0.057249985768295895,0.002733938683776417,0.006791480185982058
Residual CNN + soft delay regularization,20.0,3,0.02001472125914919,0.0004213712635185067,0.0010467442463542086,0.06515876946783336,0.0011161645941772725,0.0027727065609162655,0.3378769892390899,0.050228390327918426,0.12477423861409769,-9.61000419006884,1.044844180449079,2.595536831556424,0.04046160393153076,0.0009249984927898225,0.002297823639251414,0.04046160430492213,0.0009249985062339034,0.0022978236726483624,0.008440962205296039,0.0003179138509722068,0.0007897417862878332,0.008178462492974683,0.00031310529906777976,0.0007777966811631372,0.05180777727962576,0.0039370331252059874,0.009780132458734454
