snr_db,method,estimator,equalizer,num_seeds,frames_per_seed,total_bits,bit_errors,total_symbols,symbol_errors,ber_mean,ber_std,ber_ci95,ser_mean,ser_std,ser_ci95,evm_rms_mean,evm_rms_std,evm_rms_ci95,evm_db_mean,evm_db_std,evm_db_ci95,channel_mse_mean,channel_mse_std,channel_mse_ci95,channel_nmse_mean,channel_nmse_std,channel_nmse_ci95,pilot_nmse_mean,pilot_nmse_std,pilot_nmse_ci95,data_nmse_mean,data_nmse_std,data_nmse_ci95,deep_fade_nmse_mean,deep_fade_nmse_std,deep_fade_nmse_ci95,estimator_time_ms_mean,estimator_time_ms_std,estimator_time_ms_ci95,ber_pooled,ser_pooled,ber_plot
15.0,DFT-LS+ZF,DFT-LS,ZF,3,100,807600,38053,201900,30413,0.04711862308073304,0.0026764901974152284,0.0066487702345292546,0.15063397721644378,0.008051165799828354,0.020000204586908123,0.5697155696779492,0.08001981923027963,0.19878025063738192,-4.946872544228834,1.265987993613228,3.1448885175577557,0.037318942974476764,0.005830034061167375,0.014482607472134807,0.03731894352007657,0.005830034347110392,0.01448260818245664,0.008617744763226557,0.0007274913921264048,0.0018071888021549494,0.008390682608975719,0.0006502413820685435,0.0016152891389371237,0.06352392993246515,0.00650841515276636,0.016167799524714203,0.061678000492975116,0.0001229996269105722,0.0003055480117397731,0.04711862308073304,0.15063397721644378,0.04711862308073304
20.0,DFT-LS+ZF,DFT-LS,ZF,3,100,807600,15003,201900,12335,0.018577265973254087,0.0002874523346530932,0.000714071184842425,0.06109460128776622,0.0007017296440342733,0.0017431930721986733,0.3579260851890614,0.10679493523019092,0.26529332602925115,-9.162843697889633,2.4413629814660416,6.0646818503310165,0.034017693136508265,0.002608081447002409,0.006478833477815054,0.03401769348497813,0.0026080814415755456,0.006478833464333978,0.006309672305554462,0.0004062289318653395,0.0010091286092507453,0.006077785088564269,0.0003937072631229291,0.0009780230597136782,0.04238663532421924,0.0032425426913290025,0.008054922581490785,0.06100933348837619,0.0015483747672549863,0.0038463761512607516,0.018577265973254087,0.06109460128776622,0.018577265973254087
25.0,DFT-LS+ZF,DFT-LS,ZF,3,100,807600,7645,201900,6298,0.009466319960376425,0.0014389616355931455,0.0035745788647388683,0.031193660227835564,0.0037429043969225196,0.009297889963871358,0.22122347089360225,0.03216403988701332,0.07989990444557162,-13.16444749673201,1.2608055893910248,3.1320147117918467,0.031117931414434377,0.0022378746281985747,0.005559188758077328,0.031117931783470942,0.0022378745704555113,0.005559188614635607,0.005621084804394438,0.0005641678281247218,0.0014014705776009,0.0053485903845285065,0.0005260421390828827,0.001306761115665601,0.03755398174417981,0.006348340648411515,0.015770152411756586,0.05934133436918879,0.004095514274384429,0.010173821458010148,0.009466319960376423,0.03119366022783556,0.009466319960376425
30.0,DFT-LS+ZF,DFT-LS,ZF,3,100,807600,5194,201900,4401,0.006431401684001981,0.000734764930315313,0.0018252572726678723,0.021797919762258543,0.0020297959994375766,0.005042292789362836,0.18024951731490046,0.0036717047844751645,0.009121020321528875,-14.883728737994772,0.17798622912787002,0.44214230394877696,0.030084929724883597,0.0020414156652889186,0.005071157639502092,0.030084930179970493,0.0020414156892079607,0.005071157698920287,0.004905050929422335,0.0004831107723344831,0.0012001136885089175,0.004657504209729571,0.00044199082159856215,0.0010979660681805004,0.03280821071316799,0.0035666130594424225,0.008859958004182144,0.06122066629662489,0.0005272362812882578,0.0013097275293511663,0.006431401684001982,0.021797919762258543,0.006431401684001981
0.0,Frame-LS-cubic+MMSE,Frame-LS-cubic,MMSE,3,100,807600,282018,201900,164106,0.34920505200594354,0.00031679749454913077,0.0007869686031975155,0.8128083209509658,0.001946678304328385,0.004835816988428327,3.0148860072480628,0.7060302006655347,1.7538762471079077,9.407215108313297,2.214470428596474,5.501049503232418,1.0505266850193342,0.031219372228447735,0.07755321988985797,1.0505266974369685,0.031219369858598838,0.07755321400282694,0.490291195611159,0.0026591086463796185,0.0066055920681129835,0.5441047664483388,0.003779584462970427,0.009389008299210456,3.964389223357042,0.4229727282633708,1.0507225053209641,0.7419316664648553,0.03041583912348908,0.07555713300119032,0.34920505200594354,0.8128083209509658,0.34920505200594354
5.0,Frame-LS-cubic+MMSE,Frame-LS-cubic,MMSE,3,100,807600,193549,201900,131167,0.23965948489351163,0.002862666526718834,0.00711125787518759,0.6496631996037642,0.004360742862291154,0.010832685795463533,2.131111026343428,0.09548139997704881,0.23718894645370406,6.566386615205491,0.38527148519423465,0.9570674256330574,0.3375399931768576,0.011774016609955282,0.029248278679564692,0.33753999754786496,0.011774015893978328,0.02924827690097934,0.15284905627369882,0.0030454268728015567,0.007565259743104223,0.16872193634510038,0.002180762835681596,0.005417315200500241,1.379335392365853,0.06317384803958886,0.15693253831152737,0.744320000812877,0.005144166646976451,0.012778818363282448,0.23965948489351163,0.6496631996037643,0.23965948489351163
10.0,Frame-LS-cubic+MMSE,Frame-LS-cubic,MMSE,3,100,807600,108769,201900,81656,0.13468177315502725,0.0027967459529878985,0.006947502092002355,0.4044378405151065,0.006198369282418769,0.015397602885811297,4.787217227141396,6.566939918449125,16.313183102218108,7.254063276766654,12.642643581452058,31.406067696903314,0.12688904408365487,0.009062473771852965,0.022512432858408208,0.1268890458717942,0.009062473977002074,0.022512433368026847,0.04920424378166596,0.0002823503728954075,0.0007013972092362499,0.05434792933364709,0.0006327320071524474,0.0015717934403988742,0.4867252864440282,0.05004749138620995,0.12432486073098394,0.7518166666462397,0.01790961820454375,0.04448995798495736,0.13468177315502725,0.4044378405151065,0.13468177315502725
15.0,Frame-LS-cubic+MMSE,Frame-LS-cubic,MMSE,3,100,807600,45729,201900,36334,0.05662332838038633,0.002287347731519882,0.005682086759755107,0.17996037642397225,0.005931959999050694,0.014735805538236283,0.5308663492383885,0.0242038181698118,0.060125617483977344,-5.506215413760377,0.3910895771744783,0.9715203673316126,0.06112913910299539,0.005506828919120278,0.013679721390143992,0.061129139903932816,0.005506829070525488,0.013679721766255383,0.015425676902135213,0.00018723519632133417,0.0004651180121488029,0.01701129752521714,0.00012761247338515116,0.0003170069576257893,0.14299243466928602,0.015342865955384293,0.03811379192610038,0.7593326667362513,0.00340420171353698,0.008456505855002306,0.05662332838038633,0.17996037642397225,0.05662332838038633
20.0,Frame-LS-cubic+MMSE,Frame-LS-cubic,MMSE,3,100,807600,14935,201900,12266,0.018493065874195146,0.00024903339220006394,0.0006186332410492893,0.06075284794452699,0.0008705218268576984,0.002162496098999,0.332169563639985,0.03265814676801331,0.08112733398229903,-9.600365398652484,0.8441802508812453,2.097059996728956,0.03931365296167011,0.0008056374425202034,0.002001314352962526,0.039313653385421886,0.0008056374500813346,0.0020013143717454176,0.0048579003079794346,3.9663891336897767e-05,9.853056826475496e-05,0.00534248208704715,5.7692156536737046e-05,0.00014331526172511183,0.040045711221173404,0.0009528728388240032,0.002367067353425301,0.7530916664594164,0.015491342842579353,0.03848262896090493,0.018493065874195146,0.060752847944527,0.018493065874195146
25.0,Frame-LS-cubic+MMSE,Frame-LS-cubic,MMSE,3,100,807600,4506,201900,3683,0.005579494799405647,0.00044433897635380896,0.001103799207961035,0.018241703813769192,0.00145057096805873,0.0036034180453248747,0.1685603476641602,0.007624956416530471,0.018941441784756003,-15.470922081908773,0.3981461013256197,0.9890497450893398,0.02921987494337373,0.0016693546639843144,0.004146906875089736,0.029219875218889985,0.0016693547057452475,0.004146906978829645,0.001536920277479415,3.2760713867592926e-05,8.13821247823496e-05,0.001696196923730895,3.8819195194188546e-05,9.643222672168094e-05,0.013027081593560676,0.0005667372722230091,0.0014078534305836897,0.7272359995598284,0.05689558251363501,0.14133646215412338,0.005579494799405647,0.018241703813769192,0.005579494799405647
30.0,Frame-LS-cubic+MMSE,Frame-LS-cubic,MMSE,3,100,807600,1527,201900,1253,0.0018907875185735512,0.000501293232490676,0.001245281423475314,0.00620604259534423,0.0015539629494004616,0.003860257965268457,0.15188166924659333,0.05152981626519949,0.12800715986394762,-16.769139411368112,3.364100700235631,8.356889415581023,0.030650924098057048,0.0025054993095872924,0.006224005321710208,0.030650924587389453,0.002505499285464701,0.00622400526178637,0.00048077379072007415,3.380951415941425e-06,8.39874891393577e-06,0.0005277258721374286,6.152396422822373e-06,1.5283399971570888e-05,0.004390687070554122,0.0004004483162156387,0.0009947687639181894,0.7536536669552637,0.012076290963086015,0.029999169799471682,0.0018907875185735512,0.00620604259534423,0.0018907875185735512
0.0,Frame-LS-cubic+ZF,Frame-LS-cubic,ZF,3,100,807600,282018,201900,164106,0.34920505200594354,0.00031679749454913077,0.0007869686031975155,0.8128083209509658,0.001946678304328385,0.004835816988428327,3.0148861100279696,0.7060303208724493,1.7538765457184375,9.407215352519032,2.2144707606508405,5.501050328101192,1.0505266850193342,0.031219372228447735,0.07755321988985797,1.0505266974369685,0.031219369858598838,0.07755321400282694,0.490291195611159,0.0026591086463796185,0.0066055920681129835,0.5441047664483388,0.003779584462970427,0.009389008299210456,3.964389223357042,0.4229727282633708,1.0507225053209641,0.7419316664648553,0.03041583912348908,0.07555713300119032,0.34920505200594354,0.8128083209509658,0.34920505200594354
